id,categorie,nom_commercial,nom_variantes,dci,dosage,forme,laboratoire,nom_ar,nom_clean,prix,pharmacien_id,61266250,"a 313 200 000 ui pour cent, pommade",pommade,cutanée,autorisation active,procédure nationale,commercialisée,12/03/1998,unnamed: 8,unnamed: 9,pharma developpement,non,product_en_url,product_ar_url,product_thumbnail,nahdi_promo_en,nahdi_promo_ar,brand_name_en,brand_name_ar,product_name_en,product_name_ar,review_count,price_after_special,price_before_special,is_global_product_certain,is_nahdi_product
13.0,,TRIFLUCAN,TRIFLUCAN,FLUCONAZOLE,2MG,SOLUTION POUR PERFUSION,,,TRIFLUCAN,144.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,AVT,AVT,ACIDE ACETYLSALICYLIQUE / THIAMINE (VITAMINE B1),600 / 5MG / MG,SUPPOSITOIRE,,,AVT,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,KLONOPIN,KLONOPIN,CLONAZEPAM,2MG,COMPRIME QUADRISECABLE,,,KLONOPIN,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,HYDROXO 5000,HYDROXO 5000,HYDROXOCOBALAMINE,5000µG,SOLUTION INJECTABLE,,,HYDROXO 5000,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,DISPAMOX,DISPAMOX,AMOXICILLINE,500MG,COMPRIME DISPERSIBLE,,,DISPAMOX,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,MUSARIL,MUSARIL,TETRAZEPAM,50MG,COMPRIME ENROBE,,,MUSARIL,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,PRETERAX,PRETERAX,INDAPAMIDE / PERINDOPRIL,0.625 / 2MG / MG,COMPRIME SECABLE,,,PRETERAX,142.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,CLAFORAN,CLAFORAN,CEFOTAXIME,1G,POUDRE POUR SOLUTION INJECTABLE,,,CLAFORAN,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,RHINOFEBRAL,RHINOFEBRAL,PARACETAMOL / CHLORPHENAMINE,240 / 3.2MG / MG,GELULE,,,RHINOFEBRAL,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,RIFASONE,RIFASONE,RIFAMYCINE / PREDNISOLONE,0.25 / 1G / G,POMMADE,,,RIFASONE,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,FLUIBRON,FLUIBRON,AMBROXOL,0.3%,SOLUTION BUVABLE,,,FLUIBRON,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,AMOXIL,AMOXIL,AMOXICILLINE,500MG,POUDRE POUR SUSPENSION BUVABLE,,,AMOXIL,30.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,BENCLAMID,BENCLAMID,GLIBENCLAMIDE,5MG,COMPRIME,,,BENCLAMID,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,UNASYN,UNASYN,AMPICILLINE / SULBACTAM,1 / 0.5G / G,POUDRE POUR SOLUTION INJECTABLE,,,UNASYN,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,LASILIX,LASILIX,FUROSEMIDE,20MG,SOLUTION INJECTABLE,,,LASILIX,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,DILATOR,DILATOR,SALBUTAMOL,2.5MG,SOLUTION POUR INHALATION PAR NEBULISEUR,,,DILATOR,167.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,FORMOFTIL,FORMOFTIL,FORMOCORTAL,0.05%,COLLYRE,,,FORMOFTIL,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,GENTAGAM 120,GENTAGAM 120,GENTAMICINE,120MG,SOLUTION INJECTABLE,,,GENTAGAM 120,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,,UMILINE PROFIL 30 PEN,UMILINE PROFIL 30 PEN,INSULINE HUMAINE,100UI,SUSPENSION INJECTABLE INTERMEDIAIRE,,,UMILINE PROFIL 30 PEN,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,,BIRODOGYL,BIRODOGYL,SPIRAMYCINE / METRONIDAZOLE,1.5 / 250MUI / MG,COMPRIME PELLICULE,,,BIRODOGYL,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,GLEMA,GLEMA,GLIMEPIRIDE,2MG,COMPRIME,,,GLEMA,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,,SALAZOPYRIN,SALAZOPYRIN,SULFASALAZINE,500MG,COMPRIME ENROBE GASTRO-RESISTANT,,,SALAZOPYRIN,141.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,XANTHIUM LP,XANTHIUM LP,THEOPHYLLINE,300MG,GELULE LP,,,XANTHIUM LP,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,AIRLIX,AIRLIX,CETIRIZINE,1MG,SOLUTION BUVABLE,,,AIRLIX,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,,GYNOMYK,GYNOMYK,BUTOCONAZOLE,100MG,OVULE,,,GYNOMYK,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,,AVASTIN,AVASTIN,BEVACIZUMAB,100MG,SOLUTION A DILUER POUR PERFUSION,,,AVASTIN,13417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,,FLUMAX 6000 UI ANTI-XA/0.6ML,FLUMAX 6000 UI ANTI-XA/0.6ML,ENOXAPARINE,6000UI ANTI-XA,SOLUTION INJECTABLE,,,FLUMAX 6000 UI ANTI-XA/0.6ML,134.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,PARAPLATINE,PARAPLATINE,CARBOPLATINE,50MG,SOLUTION POUR PERFUSION,,,PARAPLATINE,5586.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,TRIFAX IV,TRIFAX IV,CEFTRIAXONE,500MG,POUDRE POUR SOLUTION INJECTABLE,,,TRIFAX IV,114.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,GLUCOVANCE,GLUCOVANCE,METFORMINE / GLIBENCLAMIDE,500 / 2.5MG / MG,COMPRIME PELLICULE,,,GLUCOVANCE,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,IXOR,IXOR,OMEPRAZOLE,10MG,COMPRIME EFFERVESCENT,,,IXOR,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,PENICILLINE G 1 M UI DIAMANT,PENICILLINE G 1 M UI DIAMANT,BENZYLPENICILLINE,1MUI,POUDRE POUR SOLUTION INJECTABLE,,,PENICILLINE G 1 M UI DIAMANT,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,DIPRIVAN,DIPRIVAN,PROPOFOL,500MG,EMULSION INJECTABLE,,,DIPRIVAN,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,NEORAL,NEORAL,CICLOSPORINE,100MG,SOLUTION BUVABLE,,,NEORAL,1213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,AGIDERM,AGIDERM,ACIDE FUSIDIQUE,2%,POMMADE,,,AGIDERM,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,GYNO CANESTEN,GYNO CANESTEN,CLOTRIMAZOLE,1%,CREME VAGINALE,,,GYNO CANESTEN,49.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,CIPRO LP 500 MG,CIPRO LP 500 MG,CIPROFLOXACINE,500MG,COMPRIME PELLICULE LP,,,CIPRO LP 500 MG,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,CIFLOXINE,CIFLOXINE,CIPROFLOXACINE,500MG,COMPRIME ENROBE GASTRO-RESISTANT,,,CIFLOXINE,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,SUPRIMASE,SUPRIMASE,FLUCONAZOLE,150MG,GELULE,,,SUPRIMASE,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,MEDIVEINE,MEDIVEINE,DIOSMINE,300MG,COMPRIME PELLICULE,,,MEDIVEINE,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,PURSENNIDE,PURSENNIDE,SENOSIDES CALCIQUES,20MG,COMPRIME ENROBE,,,PURSENNIDE,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,IDEOS,IDEOS,CALCIUM / COLECALCIFEROL (VITAMINE D3),500 / 400MG / UI,COMPRIME A SUCER,,,IDEOS,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,NORMACOL LAVEMENT AD,NORMACOL LAVEMENT AD,PHOSPHATE MONOSODIQUE / PHOSPHATE DISODIQUE,23.66 / 10.4G / G,SOLUTION RECTALE,,,NORMACOL LAVEMENT AD,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,CRESTOR,CRESTOR,ROSUVASTATINE,5MG,COMPRIME PELLICULE,,,CRESTOR,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,INHIBACE,INHIBACE,CILAZAPRIL,5MG,COMPRIME PELLICULE,,,INHIBACE,109.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
